,product_name,product_id,prices,prompts,dalle_url
0,Adventure Awaits Play Tent,1,$39.99,"Adventure Awaits Play Tent, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/cb03d633-ed95-4208-84ac-756bc0a65da9/generated_00.png?se=2023-06-18T01%3A11%3A46Z&sig=%2FNDyA6BSY8y5HPSS0nB0RgBFHvRE%2FTFZY%2BVUQvUrSV4%3D&ske=2023-06-24T00%3A35%3A53Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-17T00%3A35%3A53Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
1,Amaze-Balls Maze Set,2,$29.99,"Amaze-Balls Maze Set, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/3b3dab63-64c2-46c5-ad1a-a559adb51cd7/generated_00.png?se=2023-06-18T01%3A31%3A45Z&sig=ya9ee%2B3iMOwxDGRmQFqrHmCRdKZ7YE63DexiQPK6FA4%3D&ske=2023-06-23T15%3A43%3A41Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T15%3A43%3A41Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
2,Animal Adventure Figurines,3,$12.99,"Animal Adventure Figurines, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/a7b2fc2d-f166-489c-a11b-4b29873b32d7/generated_00.png?se=2023-06-18T01%3A31%3A53Z&sig=oYb1udL5CzxkoSN0iOP%2BlFYDjHdXChbV%2BNrVFIdqzHQ%3D&ske=2023-06-24T00%3A35%3A53Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-17T00%3A35%3A53Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
3,Artistic Masterpieces Painting Kit,5,$29.99,"Artistic Masterpieces Painting Kit, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/fa93b915-273f-4410-88b3-b456cfe6463b/generated_00.png?se=2023-06-18T01%3A12%3A02Z&sig=%2BOT2JdWlyKYwV%2FCt1Tew6PhYvTf0jAjh7wla%2F6V1HEg%3D&ske=2023-06-23T07%3A22%3A14Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T07%3A22%3A14Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
4,Awesome Obstacle Course,6,$29.99,"Awesome Obstacle Course, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/ae03d50c-df70-4f2f-b1f7-10fef6529ea1/generated_00.png?se=2023-06-18T01%3A12%3A02Z&sig=B%2FMaXi89TghXQsr100VVQeZyWYcO24IVN6%2BsF%2B2nXpU%3D&ske=2023-06-23T07%3A22%3A14Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T07%3A22%3A14Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
5,Balancing Buddies Stacking Game,7,$14.99,"Balancing Buddies Stacking Game, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/bc44616a-3dec-44c4-99be-3dc912580a6d/generated_00.png?se=2023-06-18T01%3A12%3A08Z&sig=0T81a1K3kU2S3gORWUhvFqnFAJ56GqEOAvaefbEMiaE%3D&ske=2023-06-23T15%3A43%3A41Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T15%3A43%3A41Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
6,Banana Blast Game,8,$19.99,"Banana Blast Game, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/cca7ddb4-e3c9-41aa-b444-da49d26591ce/generated_00.png?se=2023-06-18T01%3A12%3A29Z&sig=a72cCTsYXvmEZGCWQ8CgOslFRIII57EKwwWGCwgORL8%3D&ske=2023-06-23T15%3A43%3A41Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T15%3A43%3A41Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
7,Bath Time Fun Play Set,9,$19.99,"Bath Time Fun Play Set, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/0bd18d89-f91a-4d8a-951d-96f82474f4ee/generated_00.png?se=2023-06-18T01%3A32%3A01Z&sig=Q9VVxpyPmiPHwTa4w0NYxu8EGKoMemey5w6ImPow%2BGo%3D&ske=2023-06-23T15%3A43%3A41Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T15%3A43%3A41Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
8,Batty Bat Cave Set,10,$29.99,"Batty Bat Cave Set, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/4dddfca7-ee67-40fa-9ae3-d38a665e0610/generated_00.png?se=2023-06-18T01%3A32%3A09Z&sig=tNEgsdopHm4EgyZm%2FF%2F%2BLSlwBgXJ%2B56XkqOhtgl6LaQ%3D&ske=2023-06-23T07%3A22%3A14Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T07%3A22%3A14Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
9,Beach Blast Play Set,11,$19.99,"Beach Blast Play Set, kid's toy",https://dalleproduse.blob.core.windows.net/private/images/96f3f147-3cf2-4c23-a250-b0200f4f4339/generated_00.png?se=2023-06-18T01%3A13%3A06Z&sig=R7Rq3In48u6Vh4ZaeINOygIFhX2re35iRSEwx8v7FOU%3D&ske=2023-06-23T07%3A22%3A14Z&skoid=09ba021e-c417-441c-b203-c81e5dcd7b7f&sks=b&skt=2023-06-16T07%3A22%3A14Z&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skv=2020-10-02&sp=r&spr=https&sr=b&sv=2020-10-02
